FILE:2016-12-07 08:42:45,D:\AWORK\向家坝\向家坝10月份数据\2016年10月月报及数据\2标段内观\出水口边坡\出水口边坡-锚索测力计.xlsx
FILE:2016-12-07 08:42:45,D:\AWORK\向家坝\向家坝10月份数据\2016年10月月报及数据\2标段内观\右岸马延坡边坡\马延坡-锚索测力计.xlsx
DATA:DP-2G14,142,所有数据误差超限
DATA:DP-2G14,143,所有数据误差超限
DATA:DP-2G14,144,所有数据误差超限
DATA:DP-2G14,145,所有数据误差超限
DATA:DP-2G14,146,所有数据误差超限
DATA:DP-2G14,147,所有数据误差超限
DATA:DP-2G14,148,所有数据误差超限
DATA:DP-2G14,149,所有数据误差超限
DATA:DP-2G14,150,所有数据误差超限
DATA:DP-2G14,151,所有数据误差超限
DATA:DP-2G14,152,所有数据误差超限
DATA:DP-2G14,153,所有数据误差超限
DATA:DP-2G14,154,所有数据误差超限
DATA:DP-2G14,155,所有数据误差超限
DATA:DP-2G14,156,所有数据误差超限
DATA:DP-2G14,157,所有数据误差超限
DATA:DP-2G14,158,所有数据误差超限
DATA:DP-2G14,159,所有数据误差超限
DATA:DP-2G14,160,所有数据误差超限
DATA:DP-2G14,161,所有数据误差超限
DATA:DP-2G14,162,所有数据误差超限
DATA:DP-2G14,163,所有数据误差超限
DATA:DP-2G14,164,所有数据误差超限
DATA:DP-2G14,165,所有数据误差超限
DATA:DP-2G14,166,所有数据误差超限
DATA:DP-2G14,167,所有数据误差超限
DATA:DP-2G14,168,所有数据误差超限
DATA:DP-2G14,169,所有数据误差超限
DATA:DP-2G14,170,所有数据误差超限
DATA:DP-2G14,171,所有数据误差超限
DATA:DP-2G14,172,所有数据误差超限
DATA:DP-2G14,173,所有数据误差超限
DATA:DP-2G14,174,所有数据误差超限
DATA:DP-2G14,175,所有数据误差超限
DATA:DP-2G14,176,所有数据误差超限
DATA:DP-2G14,177,所有数据误差超限
DATA:DP-2G14,178,所有数据误差超限
DATA:DP-2G14,179,所有数据误差超限
DATA:DP-2G14,180,所有数据误差超限
DATA:DP-2G14,181,所有数据误差超限
DATA:DP-2G14,182,所有数据误差超限
DATA:DP-2G14,183,所有数据误差超限
DATA:DP-2G14,184,所有数据误差超限
DATA:DP-2G14,185,所有数据误差超限
DATA:DP-2G14,186,所有数据误差超限
DATA:DP-2G14,187,所有数据误差超限
DATA:DP-2G14,188,所有数据误差超限
DATA:DP-2G14,189,所有数据误差超限
DATA:DP-2G14,190,所有数据误差超限
DATA:DP-2G14,191,所有数据误差超限
DATA:DP-2G14,192,所有数据误差超限
DATA:DP-2G14,193,所有数据误差超限
DATA:DP-2G14,194,所有数据误差超限
DATA:DP-2G14,195,所有数据误差超限
DATA:DP-2G14,196,所有数据误差超限
DATA:DP-2G14,197,所有数据误差超限
DATA:DP-2G14,198,所有数据误差超限
DATA:DP-2G14,199,所有数据误差超限
